--- SIMULAÇÃO DE EUROMILHÕES (5 semanas, 100 apostas p/ sem) ---

Semana 1 - Chave Sorteada: Números [15, 34, 37, 42, 50] + Estrelas [2, 7]
  Apostas da semana:
   Aposta 01: [7, 16, 24, 36, 47] + [3, 10] -> Sem prémio
   Aposta 02: [6, 23, 39, 43, 44] + [9, 12] -> Sem prémio
   Aposta 03: [2, 7, 12, 34, 50] + [5, 10] -> PRÉMIO 2+0
   Aposta 04: [6, 11, 25, 35, 49] + [3, 10] -> Sem prémio
   Aposta 05: [4, 13, 27, 43, 46] + [6, 10] -> Sem prémio
   Aposta 06: [1, 8, 27, 31, 36] + [4, 8] -> Sem prémio
   Aposta 07: [6, 18, 25, 43, 47] + [4, 5] -> Sem prémio
   Aposta 08: [15, 20, 37, 45, 48] + [2, 6] -> PRÉMIO 2+1
   Aposta 09: [16, 25, 28, 35, 40] + [2, 5] -> Sem prémio
   Aposta 10: [8, 14, 39, 40, 45] + [4, 9] -> Sem prémio
   Aposta 11: [6, 20, 21, 26, 44] + [3, 9] -> Sem prémio
   Aposta 12: [2, 16, 25, 37, 42] + [5, 12] -> PRÉMIO 2+0
   Aposta 13: [19, 20, 25, 28, 48] + [1, 6] -> Sem prémio
   Aposta 14: [1, 15, 32, 35, 37] + [3, 9] -> PRÉMIO 2+0
   Aposta 15: [1, 2, 6, 18, 37] + [1, 6] -> Sem prémio
   Aposta 16: [9, 24, 31, 42, 43] + [5, 9] -> Sem prémio
   Aposta 17: [1, 16, 31, 33, 49] + [1, 12] -> Sem prémio
   Aposta 18: [20, 28, 29, 37, 39] + [1, 6] -> Sem prémio
   Aposta 19: [21, 25, 30, 44, 50] + [1, 10] -> Sem prémio
   Aposta 20: [9, 14, 18, 25, 34] + [3, 6] -> Sem prémio
   Aposta 21: [13, 17, 24, 32, 47] + [2, 11] -> Sem prémio
   Aposta 22: [3, 22, 32, 35, 45] + [9, 10] -> Sem prémio
   Aposta 23: [6, 20, 28, 31, 49] + [1, 11] -> Sem prémio
   Aposta 24: [7, 8, 21, 27, 29] + [2, 6] -> Sem prémio
   Aposta 25: [5, 25, 31, 33, 39] + [3, 6] -> Sem prémio
   Aposta 26: [1, 6, 27, 41, 44] + [8, 11] -> Sem prémio
   Aposta 27: [4, 5, 34, 39, 42] + [10, 11] -> PRÉMIO 2+0
   Aposta 28: [11, 20, 27, 44, 48] + [3, 5] -> Sem prémio
   Aposta 29: [1, 7, 11, 30, 31] + [9, 11] -> Sem prémio
   Aposta 30: [14, 16, 37, 39, 42] + [3, 7] -> PRÉMIO 2+1
   Aposta 31: [7, 11, 26, 29, 40] + [4, 10] -> Sem prémio
   Aposta 32: [11, 18, 34, 44, 50] + [3, 4] -> PRÉMIO 2+0
   Aposta 33: [3, 7, 26, 34, 50] + [7, 11] -> PRÉMIO 2+1
   Aposta 34: [10, 18, 21, 37, 47] + [5, 10] -> Sem prémio
   Aposta 35: [4, 25, 30, 33, 35] + [7, 11] -> Sem prémio
   Aposta 36: [18, 24, 28, 30, 38] + [3, 6] -> Sem prémio
   Aposta 37: [10, 16, 27, 28, 30] + [7, 11] -> Sem prémio
   Aposta 38: [1, 19, 30, 33, 39] + [4, 7] -> Sem prémio
   Aposta 39: [5, 20, 21, 31, 43] + [3, 6] -> Sem prémio
   Aposta 40: [1, 12, 15, 38, 39] + [1, 8] -> Sem prémio
   Aposta 41: [5, 19, 31, 40, 47] + [7, 10] -> Sem prémio
   Aposta 42: [11, 19, 27, 29, 44] + [1, 8] -> Sem prémio
   Aposta 43: [1, 10, 20, 27, 46] + [1, 10] -> Sem prémio
   Aposta 44: [4, 8, 19, 37, 40] + [1, 5] -> Sem prémio
   Aposta 45: [19, 21, 22, 24, 33] + [7, 10] -> Sem prémio
   Aposta 46: [29, 30, 39, 41, 49] + [9, 10] -> Sem prémio
   Aposta 47: [12, 16, 24, 27, 28] + [2, 7] -> Sem prémio
   Aposta 48: [7, 35, 37, 38, 40] + [5, 9] -> Sem prémio
   Aposta 49: [1, 14, 19, 36, 44] + [1, 2] -> Sem prémio
   Aposta 50: [14, 21, 25, 34, 47] + [1, 5] -> Sem prémio
   Aposta 51: [5, 9, 20, 30, 44] + [1, 3] -> Sem prémio
   Aposta 52: [13, 21, 29, 36, 37] + [6, 12] -> Sem prémio
   Aposta 53: [4, 8, 28, 35, 43] + [1, 5] -> Sem prémio
   Aposta 54: [5, 9, 28, 43, 49] + [6, 12] -> Sem prémio
   Aposta 55: [8, 11, 15, 32, 38] + [7, 11] -> Sem prémio
   Aposta 56: [2, 10, 36, 39, 50] + [2, 9] -> Sem prémio
   Aposta 57: [2, 14, 32, 42, 47] + [1, 7] -> Sem prémio
